,date_of_submission,multi_country,doc_number,region_of_disaster,total_count,total_funding_provided,currency,operational_strategy
10,29/Apr/2024,False,MDRCD039,Kinshasa,71471,398745,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'DRC', 'action_description': 'Distribution of tarpaulins to households who have lost their homes.', 'people_reached': {'total': 3482, 'male': 1776, 'female': 1706}, 'funding_used': 187}], 'total_action_funding': 64472}, {'action': 'Multi Purpose Cash', 'executed_in': [{'country': 'DRC', 'action_description': 'Cash transfers to cover basic needs for 1,500 households.', 'people_reached': {'total': 10445, 'male': 5254, 'female': 5191}, 'funding_used': 155199}], 'total_action_funding': 183361}, {'action': 'Health', 'executed_in': [{'country': 'DRC', 'action_description': 'First aid, psychosocial support, and health promotion activities.', 'people_reached': {'total': 71471}, 'funding_used': 38620}], 'total_action_funding': 42063}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'DRC', 'action_description': 'Sanitation activities, distribution of aquatabs, and hygiene promotion.', 'people_reached': {'total': 71471}, 'funding_used': 83081}], 'total_action_funding': 41062}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'DRC', 'action_description': 'Training and awareness sessions on GBV/PSEA.', 'people_reached': {'total': 71471}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'DRC', 'action_description': 'Raising awareness among disaster victims about Red Cross activities and collecting community feedback.', 'people_reached': {'total': 71471}, 'funding_used': -9989}], 'total_action_funding': 13955}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'DRC', 'action_description': 'Mobilization and training of volunteers and staff.', 'people_reached': {'total': 180}, 'funding_used': 37614}], 'total_action_funding': 32007}]"
11,25/May/2024,False,MDRCD040,"South Kivu, Democratic Republic of Congo",30685,334240,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Democratic Republic of Congo', 'action_description': 'Provide a cash transfer to 800 households for shelter and emergency items. Train volunteers to support communities in shelter construction.', 'people_reached': {'total': 5670}, 'funding_used': 90295}], 'total_action_funding': 90295}, {'action': 'Multi-purpose Cash', 'executed_in': [{'country': 'Democratic Republic of Congo', 'action_description': 'Provide cash transfer to 800 households to cover basic needs.', 'people_reached': {'total': 5670}, 'funding_used': 15350}], 'total_action_funding': 15350}, {'action': 'Health', 'executed_in': [{'country': 'Democratic Republic of Congo', 'action_description': 'Provide psychosocial support, distribute mosquito nets to 600 households, and promote health practices.', 'people_reached': {'total': 30685}, 'funding_used': 85786}], 'total_action_funding': 85786}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Democratic Republic of Congo', 'action_description': 'Distribute aquatabs to 3000 households, install hand-washing facilities, and conduct hygiene promotion activities.', 'people_reached': {'total': 30685}, 'funding_used': -239}], 'total_action_funding': -239}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Democratic Republic of Congo', 'action_description': 'Include PGI in needs assessment, train volunteers on PGI and PSEA, and conduct awareness sessions.', 'people_reached': {'total': 30685}, 'funding_used': 1435}], 'total_action_funding': 1435}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Democratic Republic of Congo', 'action_description': 'Implement risk communication and community involvement activities, train volunteers on CEA.', 'people_reached': {'total': 30685}, 'funding_used': 17331}], 'total_action_funding': 17331}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Democratic Republic of Congo', 'action_description': 'Train volunteers in Community-based First Aid, CEA, Shelter, data collection, and Cash Transfer activities.', 'people_reached': {'total': 110}, 'funding_used': 19016}], 'total_action_funding': 19016}]"
12,31-05-2023,False,MDRCG020,"Likouala, Sangha, Cuvette, Plateaux",15000,489727,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Republic of Congo', 'action_description': 'The floods caused the displacement of people whose homes were destroyed.', 'people_reached': {'total': 15000}, 'funding_used': 276441}], 'total_action_funding': 276441}, {'action': 'Health', 'executed_in': [{'country': 'Republic of Congo', 'action_description': 'Provide relief and psychosocial support, first aid treatment, and health promotion.', 'people_reached': {'total': 18585}, 'funding_used': 41048}], 'total_action_funding': 41048}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Republic of Congo', 'action_description': 'Promote good water, hygiene, and environmental sanitation practices.', 'people_reached': {'total': 18585}, 'funding_used': 70954}], 'total_action_funding': 70954}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Republic of Congo', 'action_description': 'Train volunteers on the minimum standards of PGI and ensure community engagement.', 'people_reached': {'total': 8247}, 'funding_used': 1206}], 'total_action_funding': 1206}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Republic of Congo', 'action_description': 'Strengthen work with the people through community engagement and accountability.', 'people_reached': {'total': 6171}, 'funding_used': 19619}], 'total_action_funding': 19619}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Republic of Congo', 'action_description': 'Train and deploy volunteers, provide logistical support, and hold lessons learned workshop.', 'people_reached': {'total': 157}, 'funding_used': 36083}], 'total_action_funding': 36083}]"
13,29/Apr/2024,False,MDRCG021,Republic of Congo,102851,260809,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Republic of Congo', 'action_description': 'Provide key health interventions to reduce the spread of cholera and improve case management.', 'people_reached': {'total': 102851}, 'funding_used': 43259}], 'total_action_funding': 43259}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Republic of Congo', 'action_description': 'Implement WASH activities to reduce the spread of waterborne diseases.', 'people_reached': {'total': 102851}, 'funding_used': 90789}], 'total_action_funding': 90789}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Republic of Congo', 'action_description': 'Deliver PGI interventions ensuring dignity, accessibility, participation, and safety.', 'people_reached': {'total': 8424}, 'funding_used': 1206}], 'total_action_funding': 1206}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Republic of Congo', 'action_description': 'Engage communities in the response activities and ensure feedback mechanisms.', 'people_reached': {'total': 102851}, 'funding_used': 34133}], 'total_action_funding': 34133}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Republic of Congo', 'action_description': 'Coordinate the operation and provide technical support.', 'people_reached': {'total': 200}, 'funding_used': 50327}], 'total_action_funding': 50327}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Republic of Congo', 'action_description': 'Strengthen the capacity of the National Society to respond to the epidemic.', 'people_reached': {'total': 175}, 'funding_used': 41095}], 'total_action_funding': 41095}]"
14,2022-12-31,True,MDRCL015,Chile,5694,464324,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Chile', 'action_description': 'First aid assistance was provided to people in shelters and in the affected areas while working on the removal of debris and reconstruction of houses.', 'people_reached': {'total': 5694}, 'funding_used': 9905}], 'total_action_funding': 9905}, {'action': 'Multipurpose Cash', 'executed_in': [{'country': 'Chile', 'action_description': 'A multipurpose cash transfer program was implemented to help families cover basic needs such as food, hygiene and replacement of household goods.', 'people_reached': {'total': 3335}, 'funding_used': 307572}], 'total_action_funding': 307572}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Chile', 'action_description': 'Work was carried out directly with the communities, and information was collected for the needs analysis in coordination with community representatives.', 'people_reached': {'total': 3500}, 'funding_used': 1385}], 'total_action_funding': 1385}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Chile', 'action_description': 'Hired a field coordinator and an administration/finance manager for each zone, managed procurement processes and field activities.', 'people_reached': {'total': 270}, 'funding_used': 94024}], 'total_action_funding': 94024}]"
15,31-03-2023,False,MDRCM033,South Region of Cameroon,164084,149976,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Training volunteers for community awareness of Marburg disease and prevention, using health promotion strategies like mobile cinemas and community radios.', 'people_reached': {'total': 164084, 'male': 78136, 'female': 87948}, 'funding_used': 64197}], 'total_action_funding': 64197}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Promote hygiene through awareness-raising on hand washing and water purification techniques, and sanitation in communities and health facilities.', 'people_reached': {'total': 164084}, 'funding_used': 7237}], 'total_action_funding': 7237}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Provide information regarding hemorrhagic fevers, particularly Marburg fever, through community radios and volunteer education.', 'people_reached': {'total': 164084}, 'funding_used': 17191}], 'total_action_funding': 17191}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Conduct supervision missions, rent tricycles for mobility, participate in coordination meetings, and produce activity reports.', 'people_reached': {'total': 164082}, 'funding_used': 19475}], 'total_action_funding': 19475}]"
16,04/Apr/2024,False,MDRCM034,"South-West Region, Cameroon",19525,159999,CHF,"[{'action': 'Multi Purpose Cash', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Providing cash assistance to 229 most vulnerable households to cover their needs according to their priorities.', 'people_reached': {'total': 1766, 'male': 848, 'female': 918}, 'funding_used': 28645}], 'total_action_funding': 28645}, {'action': 'Health', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Promoting health through sensitization on water-borne diseases, distribution of mosquito nets, and psychological first aid.', 'people_reached': {'total': 19525, 'male': 9372, 'female': 10153}, 'funding_used': 14867}], 'total_action_funding': 14867}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Distributing Aquatabs, WASH kits, and dignity kits to improve access to quality drinking water and household hygiene.', 'people_reached': {'total': 19525, 'male': 9372, 'female': 10153}, 'funding_used': 65508}], 'total_action_funding': 65508}, {'action': 'Protection, Gender And Inclusion', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Ensuring gender and inclusion considerations in all stages of the operation, prioritizing vulnerable groups.', 'people_reached': {'total': 19525, 'male': 9372, 'female': 10153}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Engaging community leaders, setting up feedback mechanisms, and ensuring communication on selection criteria.', 'people_reached': {'total': 25}, 'funding_used': 2046}], 'total_action_funding': 2046}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Training and equipping 25 volunteers, providing first aid kits to the Limbe divisional committee.', 'people_reached': {'total': 25}, 'funding_used': 13844}], 'total_action_funding': 13844}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Deploying IFRC staff for local support, providing remote support through weekly monitoring meetings.', 'people_reached': {'total': 5}, 'funding_used': 35089}], 'total_action_funding': 35089}]"
17,22/May/2024,False,MDRCM036,"Yaoundé II district, Mbankolo neighborhood, Cameroon",2000,61882,CHF,"[{'action': 'Multi-purpose Cash', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Cash assistance to cover multi-sectoral needs including rent, food, EHIs, and health.', 'people_reached': {'total': 700}, 'funding_used': 36055}], 'total_action_funding': 37465}, {'action': 'Health', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Psychological first aid, health sensitization to prevent water-borne diseases.', 'people_reached': {'total': 2000, 'male': 960, 'female': 1040}, 'funding_used': 5130}], 'total_action_funding': 5130}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Disinfection activities, hygiene awareness, and sanitation risk prevention.', 'people_reached': {'total': 2385}, 'funding_used': 8781}], 'total_action_funding': 8781}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Cameroon', 'action_description': 'PGI awareness, training volunteers on PGI and PSEA.', 'people_reached': {'total': 2000}, 'funding_used': 279}], 'total_action_funding': 282}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Community meetings, feedback management, and public awareness on disaster preparedness.', 'people_reached': {'total': 2000}, 'funding_used': 3345}], 'total_action_funding': 3345}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Coordination and support for various sectors including WASH, Health, CEA, PGI, Cash, and PMER.', 'people_reached': {'total': 37}, 'funding_used': 3621}], 'total_action_funding': 2463}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Cameroon', 'action_description': 'Training volunteers on first aid, CEA, PGI, WASH, CVA, and Psychosocial First Aid.', 'people_reached': {'total': 37}, 'funding_used': 4670}], 'total_action_funding': 3784}]"
18,30-04-2023,False,MDRCO022,Colombia,26005,459363,CHF,"[{'action': 'Livelihoods And Basic Needs', 'executed_in': [{'country': 'Colombia', 'action_description': 'Provided emergency humanitarian assistance with food kits and equipment for Climate-Smart Livelihoods micro-projects.', 'people_reached': {'total': 15726}, 'funding_used': 108430}], 'total_action_funding': 108430}, {'action': 'Health', 'executed_in': [{'country': 'Colombia', 'action_description': 'Delivered vector control kits, provided medical care, and promoted health services.', 'people_reached': {'total': 8230}, 'funding_used': 129595}], 'total_action_funding': 129595}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Colombia', 'action_description': 'Distributed home water filters, family hygiene kits, and trained people in hygiene measures.', 'people_reached': {'total': 16817}, 'funding_used': 219974}], 'total_action_funding': 219974}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Colombia', 'action_description': 'Provided uniforms and equipment to volunteers, conducted a Lessons Learned Workshop.', 'people_reached': {'total': 56}, 'funding_used': 36690}], 'total_action_funding': 36690}]"
19,20-10-2023,False,MDRCR023,Costa Rica,26665,413678,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Costa Rica', 'action_description': 'Implementation of health-related activities to strengthen dengue prevention and promote safe practices.', 'people_reached': {'total': 6284}, 'funding_used': 115979}], 'total_action_funding': 115979}, {'action': 'Water, Sanitation and Hygiene (WASH)', 'executed_in': [{'country': 'Costa Rica', 'action_description': 'Implementation of WASH-related activities, including community clean-up campaigns, home visits, and distribution of family kits.', 'people_reached': {'total': 26665}, 'funding_used': 220551}], 'total_action_funding': 220551}, {'action': 'Protection, Gender and Inclusion (PGI)', 'executed_in': [{'country': 'Costa Rica', 'action_description': 'Development of PGI strategy and refresher talks for staff and volunteers.', 'people_reached': {'total': 97}, 'funding_used': 2982}], 'total_action_funding': 2982}, {'action': 'Community Engagement and Accountability (CEA)', 'executed_in': [{'country': 'Costa Rica', 'action_description': 'Implementation of CEA-related talks and development of a specific CEA strategy.', 'people_reached': {'total': 103}, 'funding_used': 2982}], 'total_action_funding': 2982}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Costa Rica', 'action_description': 'Hiring of technical personnel and provision of visibility items for staff and volunteers.', 'people_reached': {'total': 0}, 'funding_used': 64049}], 'total_action_funding': 64049}]"
20,30-11-2023,False,MDRDO015,Dominican Republic,10000,498654,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Dominican Republic', 'action_description': 'Procurement and distribution of shelter tool kits and kitchen sets, community training for home reinforcement.', 'people_reached': {'total': 3085}, 'funding_used': 44624}], 'total_action_funding': 44624}, {'action': 'Multipurpose Cash Assistance', 'executed_in': [{'country': 'Dominican Republic', 'action_description': 'Cash assistance transfers to support affected families in Azua, Barahona, Independencia, and Bahoruco provinces.', 'people_reached': {'total': 2390}, 'funding_used': 94231}], 'total_action_funding': 94231}, {'action': 'Health', 'executed_in': [{'country': 'Dominican Republic', 'action_description': 'Health promotion, basic hygiene, disease prevention, distribution of prevention and control kits, mosquito nets, and mental health support.', 'people_reached': {'total': 19238}, 'funding_used': 42281}], 'total_action_funding': 42281}, {'action': 'Water, Sanitation and Hygiene (WASH)', 'executed_in': [{'country': 'Dominican Republic', 'action_description': 'Distribution of water buckets, hygiene kits, menstrual hygiene kits, and monitoring water quality.', 'people_reached': {'total': 10000}, 'funding_used': 154425}], 'total_action_funding': 154425}, {'action': 'Protection, Gender and Inclusion (PGI)', 'executed_in': [{'country': 'Dominican Republic', 'action_description': 'Sensitization on Protection from Sexual Exploitation and Abuse (PSEA), training volunteers, and distributing PSEA materials.', 'people_reached': {'total': 2000}, 'funding_used': 2130}], 'total_action_funding': 2130}, {'action': 'Community Engagement and Accountability (CEA)', 'executed_in': [{'country': 'Dominican Republic', 'action_description': 'Development of a script of key messages, community workshops, and post-distribution monitoring.', 'people_reached': {'total': 10000}, 'funding_used': 4260}], 'total_action_funding': 4260}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Dominican Republic', 'action_description': 'Providing uniforms, personal protective equipment, and insurance for volunteers, conducting lessons learned workshops.', 'funding_used': 79492}], 'total_action_funding': 79492}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Dominican Republic', 'action_description': 'Deployment of surge personnel, renting vehicles, and purchasing visibility items.', 'funding_used': 77213}], 'total_action_funding': 77213}]"
21,2023-10-31,False,MDREC021,Ecuador,8500,441810,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Ecuador', 'action_description': 'Families received shelter toolkits for home reconstruction or temporary accommodation adaptation.', 'people_reached': {'total': 1548}, 'funding_used': 57807}], 'total_action_funding': 57807}, {'action': 'Multipurpose Cash', 'executed_in': [{'country': 'Ecuador', 'action_description': 'Cash transfer program implemented for families to cover basic needs.', 'people_reached': {'total': 3216}, 'funding_used': 189730}], 'total_action_funding': 189730}, {'action': 'Health', 'executed_in': [{'country': 'Ecuador', 'action_description': 'Health promotion, community-based surveillance, mental health, and psychosocial support provided.', 'people_reached': {'total': 5747}, 'funding_used': 29021}], 'total_action_funding': 29021}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Ecuador', 'action_description': 'Awareness-raising talks and distribution of sodium hypochlorite to ensure safe water supply.', 'people_reached': {'total': 6164}, 'funding_used': 14298}], 'total_action_funding': 14298}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Ecuador', 'action_description': 'Dissemination of self-care messages and key PGI messages, training on PGI standards.', 'people_reached': {'total': 105000}, 'funding_used': 6603}], 'total_action_funding': 6603}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Ecuador', 'action_description': 'Delivery of key messages to enhance trust in ERC, implementation of feedback mechanisms.', 'people_reached': {'total': 16062}, 'funding_used': 4260}], 'total_action_funding': 4260}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Ecuador', 'action_description': 'Training, workshops, distribution of uniforms and protective equipment, and purchase of IT supplies.', 'people_reached': {'total': 0}, 'funding_used': 119963}], 'total_action_funding': 119963}]"
22,31-07-2023,False,MDREC022,"Chimborazo, Ecuador",3260,151132,CHF,"[{'action': 'Shelter Housing and Settlements', 'executed_in': [{'country': 'Ecuador', 'action_description': 'Distributed shelter tool kits to 100 affected families for debris removal, mud clearing, and rehabilitation of houses or security walls.', 'people_reached': {'total': 506}, 'funding_used': 15547}], 'total_action_funding': 15547}, {'action': 'Multi-purpose Cash', 'executed_in': [{'country': 'Ecuador', 'action_description': 'Implemented Cash and Voucher Assistance (CVA) to promote economic recovery of 110 families, covering urgent needs such as health, housing, and funeral expenses.', 'people_reached': {'total': 452}, 'funding_used': 61472}], 'total_action_funding': 61472}, {'action': 'Health', 'executed_in': [{'country': 'Ecuador', 'action_description': 'Provided pre-hospital care, mental health support, and psychosocial support through group and individual sessions, and disseminated care and self-care messages.', 'people_reached': {'total': 547}, 'funding_used': 9755}], 'total_action_funding': 9755}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Ecuador', 'action_description': 'Distributed sodium hypochlorite, cleaning kits, and hygiene kits; installed temporary sanitation and shower systems.', 'people_reached': {'total': 2547}, 'funding_used': 18851}], 'total_action_funding': 18851}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Ecuador', 'action_description': ""Trained volunteers in PGI approach, disseminated key messages on protection from domestic violence, children's rights, and equality promotion."", 'people_reached': {'total': 138504}, 'funding_used': 2982}], 'total_action_funding': 2982}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Ecuador', 'action_description': 'Engaged community leaders, maintained open communication channels, and implemented feedback mechanisms to understand community perceptions.', 'people_reached': {'total': 9824}, 'funding_used': 2130}], 'total_action_funding': 2130}]"
23,15-12-2022,False,MDRET029,Tigray,50000,993549,CHF,"[{'action': 'Food Assistance', 'executed_in': [{'country': 'Ethiopia', 'action_description': 'Provided essential food assistance to 5,600 households (28,000 people) with food portions per person.', 'people_reached': {'total': 28000}, 'funding_used': 697521}], 'total_action_funding': 697521}, {'action': 'Water, Sanitation and Hygiene (WASH)', 'executed_in': [{'country': 'Ethiopia', 'action_description': 'Supported 4,600 households with water purification tabs, soap, and hygiene promotion.', 'people_reached': {'total': 50000}, 'funding_used': 64535}], 'total_action_funding': 64535}, {'action': 'Protection, Gender and Inclusion (PGI)', 'executed_in': [{'country': 'Ethiopia', 'action_description': 'Trained 63 staff and volunteers on SGBV, PGI, and PSEA, and conducted community awareness sessions.', 'people_reached': {'total': 80}, 'funding_used': 1085}], 'total_action_funding': 1085}, {'action': 'Community Engagement and Accountability (CEA)', 'executed_in': [{'country': 'Ethiopia', 'action_description': 'Trained 22 staff and volunteers on EVCA, conducted assessments, and established feedback mechanisms.', 'people_reached': {'total': 105}, 'funding_used': 1977}], 'total_action_funding': 1977}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Ethiopia', 'action_description': 'Provided training on CEA, PGI, SGBV, and PSEA to regional and zonal staff and volunteers.', 'people_reached': {'total': 63}, 'funding_used': 64595}], 'total_action_funding': 64595}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Ethiopia', 'action_description': 'Deployed surge coordinator and consultant, conducted monitoring visits, and organized a donors round table session.', 'people_reached': {'total': 2}, 'funding_used': 69347}], 'total_action_funding': 69347}]"
24,14-11-2023,False,MDRFJ007,Fiji,6200,142018,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Fiji', 'action_description': 'Distribute relief items and conduct assessments in affected communities.', 'people_reached': {'total': 6200}, 'funding_used': 22299}], 'total_action_funding': 22299}, {'action': 'Health', 'executed_in': [{'country': 'Fiji', 'action_description': 'Provide health messaging, psychosocial support, and first aid kits.', 'people_reached': {'total': 6200}, 'funding_used': 19114}], 'total_action_funding': 19114}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Fiji', 'action_description': 'Promote hygiene practices and distribute hygiene items.', 'people_reached': {'total': 6200}, 'funding_used': 16990}], 'total_action_funding': 16990}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Fiji', 'action_description': 'Raise awareness on gender-based violence and child protection.', 'people_reached': {'total': 6200}, 'funding_used': 4672}], 'total_action_funding': 4672}, {'action': 'Risk Reduction, Climate Adaptation and Recovery', 'executed_in': [{'country': 'Fiji', 'action_description': 'Conduct public awareness campaigns and activate EOCs.', 'people_reached': {'total': 6200}, 'funding_used': 32918}], 'total_action_funding': 32918}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Fiji', 'action_description': 'Activate a hotline for community engagement and accountability.', 'people_reached': {'total': 0}, 'funding_used': 425}], 'total_action_funding': 425}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Fiji', 'action_description': 'Insure volunteers and conduct a lesson-learned workshop.', 'people_reached': {'total': 0}, 'funding_used': 37530}], 'total_action_funding': 37530}]"
25,08-06-2023,True,MDRGA009,"Gabon, Equatorial Guinea, Cameroon",32761,149282,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Gabon', 'action_description': 'Training volunteers for community awareness, deploying volunteers for data collection and health promotion, and preparation for safe and dignified burials.', 'people_reached': {'total': 32761}, 'funding_used': 73179}], 'total_action_funding': 73179}, {'action': 'Water, Sanitation and Hygiene (WASH)', 'executed_in': [{'country': 'Gabon', 'action_description': 'Hygiene promotion including hand washing, training on hygiene promotion for rapid activation.', 'people_reached': {'total': 32761}, 'funding_used': 1206}], 'total_action_funding': 1206}, {'action': 'Community Engagement and Accountability (CEA)', 'executed_in': [{'country': 'Gabon', 'action_description': 'Training volunteers on RCCE/CEA, establishing community feedback mechanisms, and communication channels to engage communities.', 'people_reached': {'total': 32761}, 'funding_used': 5886}], 'total_action_funding': 5886}, {'action': 'Protection, Gender and Inclusion (PGI)', 'executed_in': [{'country': 'Gabon', 'action_description': 'Training volunteers on PGI minimum standards and including PGI awareness in training modules and awareness-raising sessions.', 'people_reached': {'total': 1}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Gabon', 'action_description': 'Training staff and volunteers in various intervention domains, receiving technical support from Cameroon RC, and participating in coordination meetings.', 'people_reached': {'total': 104}, 'funding_used': 19641}], 'total_action_funding': 19641}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Gabon', 'action_description': 'Regular meetings between IFRC and NS operations staff, deployment of multiple staff members to strengthen capacity and response.', 'people_reached': {'total': 104}, 'funding_used': 49370}], 'total_action_funding': 49370}]"
26,22/Apr/2024,False,MDRGA010,"Haut-Ogooue, Gabon",2550,181545,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Gabon', 'action_description': 'Provide shelter support to 200 households whose homes were partially or totally destroyed, through cash assistance.', 'people_reached': {'total': 1200}, 'funding_used': 3518}], 'total_action_funding': 3518}, {'action': 'Health', 'executed_in': [{'country': 'Gabon', 'action_description': 'Provide first aid, psychological support, and distribute mosquito nets to prevent malaria.', 'people_reached': {'total': 2550}, 'funding_used': 10444}], 'total_action_funding': 10444}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Gabon', 'action_description': 'Distribute Aqua tabs for water purification, jerry cans, and sanitation materials; conduct hygiene promotion.', 'people_reached': {'total': 2250}, 'funding_used': 15240}], 'total_action_funding': 15240}, {'action': 'Protection, Gender And Inclusion', 'executed_in': [{'country': 'Gabon', 'action_description': 'Train volunteers to ensure dignity, access, participation, and safety of communities.', 'people_reached': {'total': 2550}, 'funding_used': 2924}], 'total_action_funding': 2924}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Gabon', 'action_description': 'Train volunteers on evaluation methods, set up feedback management system, and conduct community meetings.', 'people_reached': {'total': 2550}, 'funding_used': 1356}], 'total_action_funding': 1356}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Gabon', 'action_description': ""Support CRG and monitor day-to-day activities, deploy surge team, and conduct missions by delegation's staff."", 'people_reached': {'total': 60}, 'funding_used': 43511}], 'total_action_funding': 43511}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Gabon', 'action_description': 'Ensure volunteers are insured, trained, and provided with necessary support and guidance.', 'people_reached': {'total': 33}, 'funding_used': 26877}], 'total_action_funding': 26877}]"
27,30-11-2023,False,MDRGA011,Gabon,10000,254560,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Gabon', 'action_description': 'Training volunteers in emergency first aid and psychological first aid, providing first aid equipment and hibernation kits.', 'people_reached': {'total': 10000}, 'funding_used': 23958}], 'total_action_funding': 23958}, {'action': 'Protection, Gender And Inclusion', 'executed_in': [{'country': 'Gabon', 'action_description': 'Briefing volunteers on PGI and the code of conduct.', 'people_reached': {'total': 3967}, 'funding_used': 3967}], 'total_action_funding': 3967}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Gabon', 'action_description': 'Using mobile cinema to promote messages on peace and raise awareness about the Red Cross mandate.', 'people_reached': {'total': 10000}, 'funding_used': 17931}], 'total_action_funding': 17931}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Gabon', 'action_description': 'Deploying volunteers, providing visibility equipment, and enhancing operational capacities with satellite phones and vehicle repairs.', 'people_reached': {'total': 10000}, 'funding_used': 141803}], 'total_action_funding': 141803}]"
